Município;AIS;Meio Empregado;Data;Hora;Dia da Semana;Gênero;Idade;Escolaridade;Raça
Fortaleza;AIS 21;Arma de fogo;2022-11-24;21:00:00;Quinta;Masculino;23;Não Informada;Não Informada
Caucaia;AIS 12;Arma de fogo;2022-11-25;22:30:00;Sexta;Masculino;21;Ensino Fundamental Completo;Parda
Caucaia;AIS 12;Arma de fogo;2022-11-28;06:09:59;Segunda;Masculino;17;Ensino Médio Incompleto;Não Informada
Limoeiro do Norte;AIS 01;Arma de fogo;2022-11-29;15:00:00;Terça;Masculino;16;Ensino Fundamental Incompleto;Parda
Limoeiro do Norte;AIS 01;Arma de fogo;2022-11-29;15:00:00;Terça;Masculino;16;Ensino Fundamental Completo;Não Informada
Itapipoca;AIS 11;Arma de fogo;2022-12-07;10:30:00;Quarta;Masculino;24;Ensino Médio Incompleto;Não Informada
Itarema;AIS 11;Arma de fogo;2022-12-08;13:17:00;Quinta;Feminino;36;Alfabetizado;Não Informada
Jaguaribe;AIS 31;Arma de fogo;2022-12-11;22:00:00;Domingo;Masculino;15;Ensino Médio Incompleto;Não Informada
Mulungu;AIS 29;Arma de fogo;2022-12-16;04:00:00;Sexta;Masculino;16;Alfabetizado;Não Informada
Beberibe;AIS 30;Arma de fogo;2022-12-18;08:50:00;Domingo;Masculino;17;Ensino Fundamental Incompleto;Parda
Caucaia;AIS 26;Arma de fogo;2022-12-18;14:19:59;Domingo;Masculino;20;Alfabetizado;Não Informada
Fortaleza;AIS 20;Arma de fogo;2022-12-23;00:29:59;Sexta;Masculino;22;Não Informada;Não Informada
Quixeré;AIS 01;Arma de fogo;2022-12-29;21:00:00;Quinta;Masculino;27;Ensino Médio Incompleto;Não Informada
Pedra Branca;AIS 09;Arma de fogo;2022-12-31;01:59:59;Sábado;Masculino;25;Alfabetizado;Parda
